key,population,area_km,population_density,days,cluster
Brazil.regions.MA:Mirador,21015.0,8521.081,2.4662363847967175,286,4
Brazil.regions.MA:Riachão,20195.0,6373.03,3.1688223654996133,289,4
Brazil.regions.MA:Santa Luzia,72667.0,4837.038,15.023036825429116,295,4
Brazil.regions.MA:Tasso Fragoso,8521.0,4382.975,1.944113302037999,277,4
Brazil.regions.MG:Arinos,17875.0,5279.419,3.3857892317317493,252,4
Brazil.regions.MG:Buritis,24841.0,5225.186,4.754089136731209,260,4
Brazil.regions.MG:Buritizeiro,28056.0,7218.401,3.8867333638017616,259,4
Brazil.regions.MG:Januária,67742.0,6661.588,10.16904677983688,268,4
Brazil.regions.MG:Montes Claros,409341.0,3568.941,114.69536761745292,319,4
Brazil.regions.MG:Paracatu,93158.0,8229.587,11.31988762011994,320,4
Brazil.regions.MG:Prata,27856.0,4847.544,5.746415091848573,271,4
Brazil.regions.MG:Uberaba,333783.0,4523.957,73.78120525902435,336,4
Brazil.regions.MG:Unaí,84378.0,8448.082,9.987829190104925,326,4
Brazil.regions.MS:Alcinópolis,5343.0,4399.681,1.2144062262695865,323,4
Brazil.regions.MS:Amambai,39396.0,4202.324,9.374812603692625,283,4
Brazil.regions.MS:Bela Vista,24629.0,4892.603,5.033925703761372,285,4
Brazil.regions.MS:Bonito,21976.0,4934.414,4.4536190112949585,285,4
Brazil.regions.MS:Brasilândia,11872.0,5807.224,2.0443502782052145,288,4
Brazil.regions.MS:Camapuã,13711.0,6228.631,2.201286285862816,278,4
Brazil.regions.MS:Campo Grande,895982.0,8092.951,110.71140798949604,340,4
Brazil.regions.MS:Coxim,33543.0,6409.224,5.233550894772908,310,4
Brazil.regions.MS:Figueirão,3051.0,4882.873,0.6248370580189164,230,4
Brazil.regions.MS:Inocência,7610.0,5776.028,1.3175143887806637,246,4
Brazil.regions.MS:Maracaju,47083.0,5299.184,8.884952853118518,267,4
Brazil.regions.MS:Miranda,28013.0,5475.367,5.116186732323148,307,4
Brazil.regions.MS:Nova Andradina,54374.0,4776.002,11.384836103502469,323,4
Brazil.regions.MS:Paranaíba,42148.0,5402.652,7.80135385362596,312,4
Brazil.regions.MS:Paraíso das Águas,5555.0,5061.433,1.097515268897168,305,4
Brazil.regions.MS:Ponta Porã,92526.0,5330.448,17.35801568648639,333,4
Brazil.regions.MS:Rio Verde de Mato Grosso,19746.0,8154.522,2.421478536694119,327,4
Brazil.regions.MS:Santa Rita do Pardo,7851.0,6139.729,1.2787209337741128,239,4
Brazil.regions.MS:Sidrolândia,57665.0,5286.405,10.908169162218938,335,4
Brazil.regions.MS:Água Clara,15522.0,7784.924,1.9938537614496943,267,4
Brazil.regions.MT:Alto Araguaia,19044.0,5399.326,3.5271069018614547,280,4
Brazil.regions.MT:Araguaiana,3100.0,6422.966,0.4826430655245567,239,4
Brazil.regions.MT:Barra do Bugres,34966.0,5981.569,5.845623447627203,266,4
Brazil.regions.MT:Bom Jesus do Araguaia,6580.0,4274.218,1.539462891223611,276,4
Brazil.regions.MT:Campinápolis,15980.0,5981.707,2.6714782251955835,257,4
Brazil.regions.MT:Campo Verde,44041.0,5394.764,8.163656463934288,282,4
Brazil.regions.MT:Campos de Júlio,6891.0,6787.282,1.0152812274486311,277,4
Brazil.regions.MT:Chapada dos Guimarães,19752.0,6450.543,3.0620677980132838,319,4
Brazil.regions.MT:Confresa,30933.0,5801.945,5.33148797515316,303,4
Brazil.regions.MT:Diamantino,22041.0,8191.677,2.6906578469829805,260,4
Brazil.regions.MT:Guarantã do Norte,35816.0,4734.589,7.564753772713957,279,4
