region,cases_distance,deaths_distance,cases_per_100k_distance,deaths_per_100k_distance,is_same_cluster
Belgium,11230.381818181819,5317.818181818182,105.85251002100271,47.02474155780214,False
Burundi,26805.363636363636,1555.1636363636367,229.28967361295028,13.30399831697731,False
Dominican_Republic,21529.399999999998,1853.5454545454545,170.4000406116256,15.444046781274624,False
Haiti,30342.454545454544,2003.6363636363637,258.21756468203284,17.11865424673003,False
Rwanda,35475.0,2219.327272727273,303.67113710624284,18.987126368818615,False
Brazil.regions.AM:Jutaí,23363.690909090907,1302.8363636363638,819.2760043137984,65.97241374963777,False
Brazil.regions.MS:Corumbá,22838.38181818182,1272.4545454545455,125.21284602309025,10.88582136738111,False
Brazil.regions.PA:Itaituba,29103.32727272727,1777.4909090909093,338.1196583718387,7.515786484805173,False
Sweden.regions.Västerbotten,37123.145454545454,2308.4,126.00977477293641,9.531348418530131,False
United_States_of_America.regions.Alaska:Matanuska-Susitna Borough,30720.327272727274,1871.2727272727273,231.61348159872904,15.094036942938756,False
United_States_of_America.regions.Alaska:Southeast Fairbanks Census Area,24656.58181818182,1399.9454545454546,158.47681346825493,11.976503362495441,False
Bhutan,37609.50909090909,2336.6545454545453,316.3623592279608,19.990029561339586,False
Brazil.regions.AM:Manicoré,22233.52727272727,1236.9272727272728,70.05154741619236,7.011616669123945,False
Brazil.regions.AM:Novo Airão,27233.890909090915,1591.9818181818184,642.1224224466205,12.039509955722364,False
Brazil.regions.PA:Novo Progresso,25138.18181818182,1443.418181818182,188.0548460745398,12.348411612683456,False
Brazil.regions.RO:Porto Velho,27518.236363636366,1825.6181818181822,643.0767574548125,13.109748407164865,False
Estonia,35824.58181818182,2271.690909090909,183.7004440103906,15.071835657587524,False
Sweden.regions.Jämtland Härjedalen,36854.200000000004,2303.0909090909095,290.97891791595055,5.772663379738375,False
United_States_of_America.regions.Alaska:Kenai Peninsula Borough,33396.72727272727,2054.1272727272726,160.78682706249157,15.878224406042243,False
United_States_of_America.regions.Arizona:Coconino,32231.38181818182,1970.8545454545454,577.2582134587306,41.154892957994385,False
United_States_of_America.regions.Arizona:Mohave,28579.67272727273,1680.9818181818184,31.41057686647024,9.84161171545345,False
United_States_of_America.regions.Nevada:Elko,32912.872727272734,2021.1454545454544,231.91110655100482,15.404682164312218,False
United_States_of_America.regions.Nevada:Nye,32324.981818181815,1982.9636363636362,135.19991556925746,12.682372463888635,False
United_States_of_America.regions.Idaho,32822.781818181815,2138.3272727272724,134.69102278305078,14.361505906093504,False
United_States_of_America.regions.Kansas,27401.67272727273,2111.0,29.756543562140504,12.244398796700228,False
United_States_of_America.regions.Nebraska,27891.636363636364,2216.7818181818184,182.49466012532483,13.793160686069877,False
United_States_of_America.regions.Utah,29452.018181818185,2241.581818181818,66.31743684060439,17.024528226863982,False
Brazil.regions.RJ:Rio de Janeiro,6123.036363636363,1562.109090909091,147.15154011362563,38.03675898380888,False
El_Salvador,31042.218181818185,2027.9636363636362,244.89449600791184,16.966301421005674,False
Lebanon,36679.96363636363,2310.6545454545453,307.9137978559596,19.610407941888358,False
United_States_of_America.regions.Maryland,16352.363636363636,228.63636363636363,571.1674472207028,22.44177147826074,False
United_States_of_America.regions.Massachusetts,22725.29090909091,1034.7272727272727,553.8785539941878,28.923722354065,False
Albania,36455.25454545455,2303.309090909091,280.3359893005949,18.826698074282252,False
Armenia,29825.872727272726,2233.1272727272726,56.95528045805618,16.482741991846755,False
Brazil.regions.AL,24317.49090909091,1800.2181818181818,80.96552215058438,3.9163412014678767,False
Kuwait,19089.727272727276,2202.7272727272725,126.5584122115036,16.75296719236321,False
Moldova,28817.58181818182,2024.0181818181818,72.94768888265544,11.173146329818307,False
United_States_of_America.regions.Arizona:Maricopa,34655.181818181816,2231.018181818182,255.28654178131083,17.634921122378017,False
Kyrgyzstan,31987.545454545456,2059.854545454545,259.10007911133374,17.457124272226874,False
United_States_of_America.regions.Missouri,23626.49090909091,1536.3272727272727,93.58052281349728,6.949921021943722,False
United_States_of_America.regions.Washington,25991.963636363635,1711.5090909090907,168.98625213628827,11.780518875562983,False
Brazil.regions.TO,28198.054545454543,1961.3454545454545,49.050870976741514,11.619089934975998,False
United_States_of_America.regions.Nevada,28917.236363636363,1915.9272727272728,38.50758770835574,6.330745007983433,False
Aruba,36716.32727272727,2282.5454545454545,219.54889397003151,16.718459160782178,False
Brazil.regions.AP:Santana,22571.32727272727,1325.5272727272727,1037.1083406822893,13.77485036221597,False
Brazil.regions.BA:Alagoinhas,29474.67272727273,1782.4,158.31493035884787,13.330628868470244,False
Brazil.regions.BA:Ilhéus,29485.127272727274,1796.9272727272728,173.2823810876205,5.4033292078638695,False
Brazil.regions.BA:Itabuna,32357.745454545457,2021.9818181818182,235.50488889119904,2.0365982932287814,False
Brazil.regions.BA:Itapetinga,24642.563636363633,1397.2181818181818,187.80653904035225,8.394914163613374,False
Brazil.regions.BA:Jequié,30819.636363636364,1894.2545454545455,52.28731096767199,7.026705185781009,False
Brazil.regions.BA:Lauro de Freitas,32848.4,2046.2545454545455,30.153837732855866,13.110330473423064,False
Brazil.regions.BA:Porto Seguro,34803.600000000006,2146.6,187.76096032767683,17.700113699281985,False
Brazil.regions.BA:Simões Filho,24399.800000000003,1392.2181818181818,19.060444154729165,6.226060409257366,False
Brazil.regions.BA:Teixeira de Freitas,30555.2,1872.2727272727273,138.95868266554115,16.01725305859927,False
Brazil.regions.CE:Itapipoca,24663.14545454545,1421.9999999999998,664.0465342277798,35.27511467709884,False
